Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Cuyama,C2,12,open,,,,5,
Cuyama,C2,13,ephedra,290,290,115,8,
Cuyama,C2,13,open,,,,5,
Cuyama,C2,14,ephedra,265,210,180,80,Y
Cuyama,C2,14,open,,,,45,Y
Cuyama,C2,15,ephedra,435,420,155,50,
Cuyama,C2,15,open,,,,8,
Cuyama,C2,16,ephedra,330,300,155,95,
Cuyama,C2,16,open,,,,4,
Cuyama,C2,17,ephedra,410,355,195,20,
Cuyama,C2,17,open,,,,8,
Cuyama,C2,18,ephedra,530,510,120,5,Y
Cuyama,C2,18,open,,,,6,Y
Cuyama,C2,19,ephedra,260,240,140,4,
Cuyama,C2,19,open,,,,4,
Cuyama,C2,20,ephedra,425,380,190,50,
Cuyama,C2,20,open,,,,10,
Cuyama,C2,21,ephedra,255,210,145,20,
Cuyama,C2,21,open,,,,8,
Cuyama,C2,22,ephedra,325,265,165,60,Y
Cuyama,C2,22,open,,,,8,Y
Cuyama,C2,23,ephedra,295,245,120,30,
Cuyama,C2,23,open,,,,50,
Cuyama,C2,24,ephedra,605,510,155,60,
Cuyama,C2,24,open,,,,40,
Cuyama,C2,25,ephedra,280,240,175,35,
Cuyama,C2,25,open,,,,2,
Cuyama,C2,26,ephedra,350,340,165,60,Y
Cuyama,C2,26,open,,,,4,Y
Cuyama,C2,27,ephedra,355,265,130,55,
Cuyama,C2,27,open,,,,5,
Cuyama,C2,28,ephedra,480,415,160,30,
Cuyama,C2,28,open,,,,3,
Cuyama,C2,29,ephedra,430,420,195,80,Y
Cuyama,C2,29,open,,,,3,Y
Cuyama,C2,30,ephedra,580,460,255,35,
Cuyama,C2,30,open,,,,1,
Cuyama,C3,1,ephedra,290,285,210,25,
Cuyama,C3,1,open,,,,5,
Cuyama,C3,2,ephedra,310,290,165,45,Y
Cuyama,C3,2,open,,,,30,Y
Cuyama,C3,3,ephedra,390,360,140,25,
Cuyama,C3,3,open,,,,20,
Cuyama,C3,4,ephedra,180,160,160,45,
Cuyama,C3,4,open,,,,65,
Cuyama,C3,5,ephedra,485,460,205,35,
Cuyama,C3,5,open,,,,20,
Cuyama,C3,6,ephedra,235,220,105,25,N
Cuyama,C3,6,open,,,,5,N
Cuyama,C3,7,ephedra,450,415,240,95,
Cuyama,C3,7,open,,,,40,
Cuyama,C3,8,ephedra,495,475,195,25,
Cuyama,C3,8,open,,,,15,
Cuyama,C3,9,ephedra,305,130,115,30,Y
Cuyama,C3,9,open,,,,100,Y
Cuyama,C3,10,ephedra,250,240,145,95,
Cuyama,C3,10,open,,,,60,
Cuyama,C3,11,ephedra,265,260,170,30,
Cuyama,C3,11,open,,,,35,
Cuyama,C3,12,ephedra,235,235,130,50,
